_CustomObjectKey,ID,HC_CustomerToBeDeleted_Flg__c
118697,a0i6g000005RGluAAG,false
118698,a0i6g000005RGplAAG,false
118699,a0i6g000005RH2VAAW,false
118700,a0i6g000005RH3nAAG,false
118701,a0i6g000005RH3sAAG,false
118702,a0i6g000005RH3wAAG,false
118703,a0i6g000005RHFLAA4,false
118704,a0i6g000005RHN1AAO,false
118705,a0i6g000005RHktAAG,false
118706,a0i6g000005RHtFAAW,false
118707,a0i6g000005RHtlAAG,false
118708,a0i6g000005RHvWAAW,false
118709,a0i6g000005RI55AAG,false
118710,a0i6g000005RI68AAG,false
118711,a0i6g000005RILrAAO,false
118712,a0i6g000005RIMCAA4,false
118713,a0i6g000005RIQAAA4,false
118714,a0i6g000005RIRQAA4,false
118715,a0i6g000005RIT4AAO,false
118716,a0i6g000005RIV1AAO,false
118717,a0i6g000005RIgWAAW,false
118718,a0i6g000005RIl2AAG,false
118719,a0i6g000005RIlFAAW,false
118720,a0i6g000005RIlLAAW,false
118721,a0i6g000005RIlNAAW,false
118722,a0i6g000005RIlVAAW,false
118723,a0i6g000005RIozAAG,false
118724,a0i6g000005RIwfAAG,false
118725,a0i6g000005RIwmAAG,false
118726,a0i6g000005RIwpAAG,false
118727,a0i6g000005RIwvAAG,false
118728,a0i6g000005RIxpAAG,false
118729,a0i6g000005RIxrAAG,false
118730,a0i6g000005RIxuAAG,false
118731,a0i6g000005RIxwAAG,false
118732,a0i6g000005RIyZAAW,false
118733,a0i6g000005RIygAAG,false
118734,a0i6g000005RIyjAAG,false
118735,a0i6g000005RIymAAG,false
118736,a0i6g000005RJ56AAG,false
118737,a0i6g000005RJ7mAAG,false
118738,a0i6g000005RJ8mAAG,false
118739,a0i6g000005RJBCAA4,false
118740,a0i6g000005RJGvAAO,false
118741,a0i6g000005RJLgAAO,false
118742,a0i6g000005RJLkAAO,false
118743,a0i6g000005RJLtAAO,false
118744,a0i6g000005RJLwAAO,false
118745,a0i6g000005RJM3AAO,false
118746,a0i6g000005RJM7AAO,false
118747,a0i6g000005RJMbAAO,false
118748,a0i6g000005RJfrAAG,false
118749,a0i6g000005RJrhAAG,false
118750,a0i6g000005RJsVAAW,false
118751,a0i6g000005RJsuAAG,false
118752,a0i6g000005RJy9AAG,false
118753,a0i6g000005RJyCAAW,false
118754,a0i6g000005RKJEAA4,false
118755,a0i6g000005RKQ3AAO,false
118756,a0i6g000005RKoaAAG,false
118757,a0i6g000005RKtdAAG,false
118758,a0i6g000005RKvPAAW,false
118759,a0i6g000005RL0nAAG,false
118760,a0i6g000005RL3OAAW,false
118761,a0i6g000005RL3vAAG,false
118762,a0i6g000005RL4AAAW,false
118763,a0i6g000005RL4BAAW,false
118764,a0i6g000005RL4YAAW,false
118765,a0i6g000005RL7jAAG,false
118766,a0i6g000005RLGmAAO,false
118767,a0i6g000005RLGxAAO,false
118768,a0i6g000005RLHUAA4,false
118769,a0i6g000005RLHtAAO,false
118770,a0i6g000005RLJ2AAO,false
118771,a0i6g000005RLJ6AAO,false
118772,a0i6g000005RClnAAG,false
118773,a0i6g000005RClrAAG,false
118774,a0i6g000005RClxAAG,false
118775,a0i6g000005RCm8AAG,false
118776,a0i6g000005RCmCAAW,false
118777,a0i6g000005RCmVAAW,false
118778,a0i6g000005RCmbAAG,false
118779,a0i6g000005RCmlAAG,false
118780,a0i6g000005RCn0AAG,false
118781,a0i6g000005RCn2AAG,false
118782,a0i6g000005RCn3AAG,false
118783,a0i6g000005RCnCAAW,false
118784,a0i6g000005RCnIAAW,false
118785,a0i6g000005RCnOAAW,false
118786,a0i6g000005RCnTAAW,false
118787,a0i6g000005RCp2AAG,false
118788,a0i6g000005RCp3AAG,false
