_CustomObjectKey,STATUS,ID_TITULO,ID_PLANO,ID_SERIE
15585637,A,78524,"PM60C ",AA
15585638,A,78527,"PM60C ",AA
15585639,A,78529,"PM60C ",AA
15585640,A,78536,"PM60C ",AA
15585641,A,78537,"PM60C ",AA
15585642,A,78539,"PM60C ",AA
15585643,A,78540,"PM60G ",AA
15585644,A,78545,"PM60C ",AA
15585645,A,78546,"PM60C ",AA
15585646,A,49271,"PM60C ",AA
15585647,A,49279,"PM60E ",AA
15585648,A,49280,"PM60E ",AA
15585649,A,49281,"PM60E ",AA
15585650,A,49282,"PM60E ",AA
15585651,A,49284,"PM60E ",AA
15585652,A,49285,"PM60E ",AA
15585653,A,49287,"PM60E ",AA
15585654,A,49290,"PM60E ",AA
15585655,A,49291,"PM60E ",AA
15585656,A,49292,"PM60E ",AA
15585657,A,49293,"PM60E ",AA
15585658,A,49294,"PM60E ",AA
15585659,A,49295,"PM60E ",AA
15585660,A,49598,"PM60D ",AA
15585661,A,49611,"PM60D ",AA
15585662,A,49613,"PM60D ",AA
15585663,A,50031,"PM60C ",AA
15585664,A,50036,"PM60C ",AA
15585665,A,50040,"PM60D ",AA
15585666,A,50043,"PM60C ",AA
15585667,A,50044,"PM60C ",AA
15585668,A,50055,"PM60C ",AA
15585669,A,50056,"PM60C ",AA
15585670,A,50447,"PM60C ",AA
15585671,A,50450,"PM60E ",AA
15585672,A,50451,"PM60C ",AA
15585673,A,50452,"PM60C ",AA
15585674,A,50455,"PM60C ",AA
15585675,A,50459,"PM60C ",AA
15585676,A,50460,"PM60C ",AA
15585677,A,50464,"PM60D ",AA
15585678,A,50467,"PM60C ",AA
15585679,A,27789,"48PMA ",AA
15585680,A,50475,"PM60C ",AA
15585681,A,50477,"PM60C ",AA
15585682,A,50478,"PM60C ",AA
15585683,A,50480,"PM60C ",AA
15585684,A,50481,"PM60C ",AA
15585685,A,50482,"PM60C ",AA
15585686,A,50977,"PM60C ",AA
15585687,A,50978,"PM60C ",AA
15585688,A,50981,"PM60C ",AA
15585689,A,50989,"PM60C ",AA
15585690,A,50991,"PM60D ",AA
15585691,A,50996,"PM60C ",AA
15585692,A,50997,"PM60C ",AA
15585693,A,50998,"PM60C ",AA
15585694,A,51003,"PM60C ",AA
15585695,A,51005,"PM60C ",AA
15585696,A,51009,"PM60C ",AA
15585697,A,51011,"PM60C ",AA
15585698,A,51551,"PM60C ",AA
15585699,A,51552,"PM60C ",AA
15585700,A,51553,"PM60C ",AA
15585701,A,51554,"PM60C ",AA
15585702,A,51555,"PM60C ",AA
15585703,A,77358,"PM60G ",AA
15585704,A,77360,"PM60E ",AA
15585705,A,77361,"PM60G ",AA
15585706,A,77424,"PM60C ",AA
15585707,A,77426,"PM60D ",AA
15585708,A,77428,"PM60C ",AA
15585709,A,77434,"PM60C ",AA
15585710,A,77441,"PM60E ",AA
15585711,A,77451,"PM60C ",AA
15585712,A,77452,"PM60C ",AA
15585713,A,77735,"PM60E ",AA
15585714,A,77736,"PM60E ",AA
15585715,A,77737,"PM60F ",AA
15585716,A,77738,"PM60E ",AA
15585717,A,77739,"PM60E ",AA
15585718,A,77740,"PM60E ",AA
15585719,A,77743,"PM60E ",AA
15585720,A,77744,"PM60E ",AA
15585721,A,77746,"PM60E ",AA
15585722,A,77747,"PM60E ",AA
15585723,A,77748,"PM60E ",AA
15585724,A,77749,"PM60E ",AA
15585725,A,77754,"PM60G ",AA
15585726,A,77755,"PM60E ",AA
15585727,A,77757,"PM60E ",AA
15585728,A,77758,"PM60E ",AA
15585729,A,77760,"PM60E ",AA
15585730,A,77761,"PM60E ",AA
15585731,A,78022,"PM60C ",AA
15585732,A,78024,"PM60D ",AA
15585733,A,78233,"PM60C ",AA
15585734,A,78234,"PM60C ",AA
15585735,A,78236,"PM60C ",AA
15585736,A,78239,"PM60C ",AA
15585737,A,78246,"PM60C ",AA
15585738,A,78250,"PM60C ",AA
15585739,A,78251,"PM60C ",AA
15585740,A,78551,"PM60C ",AA
15585741,A,78560,"PM60C ",AA
15585742,A,78569,"PM60C ",AA
15585743,A,49297,"PM60E ",AA
15585744,A,49298,"PM60E ",AA
15585745,A,49299,"PM60E ",AA
15585746,A,49302,"PM60E ",AA
15585747,A,49305,"PM60E ",AA
15585748,A,49306,"PM60E ",AA
15585749,A,49307,"PM60E ",AA
15585750,A,49310,"PM60C ",AA
15585751,A,49315,"PM60C ",AA
15585752,A,49623,"PM60C ",AA
15585753,A,49630,"PM60C ",AA
15585754,A,49631,"PM60C ",AA
15585755,A,49632,"PM60C ",AA
15585756,A,49633,"PM60C ",AA
15585757,A,49636,"PM60C ",AA
15585758,A,49641,"PM60C ",AA
15585759,A,50073,"PM60D ",AA
15585760,A,50487,"PM60C ",AA
15585761,A,50490,"PM60C ",AA
15585762,A,50492,"PM60C ",AA
15585763,A,50494,"PM60C ",AA
15585764,A,50495,"PM60C ",AA
15585765,A,50496,"PM60C ",AA
15585766,A,50497,"PM60C ",AA
15585767,A,50502,"PM60C ",AA
15585768,A,50503,"PM60D ",AA
15585769,A,50505,"PM60C ",AA
15585770,A,50506,"PM60C ",AA
15585771,A,50509,"PM60C ",AA
15585772,A,50516,"PM60C ",AA
15585773,A,50519,"PM60C ",AA
15585774,A,50522,"PM60C ",AA
15585775,A,51017,"PM60D ",AA
15585776,A,51022,"PM60C ",AA
15585777,A,51023,"PM60C ",AA
15585778,A,51033,"PM60C ",AA
15585779,A,51034,"PM60C ",AA
15585780,A,51035,"PM60C ",AA
15585781,A,51037,"PM60C ",AA
15585782,A,51039,"PM60C ",AA
15585783,A,51043,"PM60C ",AA
15585784,A,51044,"PM60C ",AA
15585785,A,77463,"PM60C ",AA
15585786,A,77464,"PM60D ",AA
15585787,A,77466,"PM60C ",AA
15585788,A,77467,"PM60D ",AA
15585789,A,77468,"PM60C ",AA
15585790,A,77483,"PM60C ",AA
15585791,A,77762,"PM60E ",AA
15585792,A,77763,"PM60E ",AA
15585793,A,77764,"PM60G ",AA
15585794,A,77765,"PM60E ",AA
15585795,A,77766,"PM60E ",AA
15585796,A,77767,"PM60E ",AA
15585797,A,77768,"PM60E ",AA
15585798,A,77769,"PM60E ",AA
15585799,A,77770,"PM60E ",AA
15585800,A,77771,"PM60E ",AA
15585801,A,77772,"PM60F ",AA
15585802,A,77773,"PM60E ",AA
15585803,A,77774,"PM60F ",AA
15585804,A,77775,"PM60E ",AA
15585805,A,77776,"PM60E ",AA
15585806,A,77777,"PM60E ",AA
15585807,A,77779,"PM60E ",AA
15585808,A,77780,"PM60E ",AA
15585809,A,77781,"PM60E ",AA
15585810,A,77782,"PM60E ",AA
15585811,A,77783,"PM60E ",AA
15585812,A,77784,"PM60E ",AA
15585813,A,77785,"PM60E ",AA
15585814,A,77786,"PM60E ",AA
15585815,A,77787,"PM60F ",AA
15585816,A,77788,"PM60F ",AA
15585817,A,77789,"PM60E ",AA
15585818,A,77790,"PM60E ",AA
15585819,A,78034,"PM60C ",AA
15585820,A,78036,"PM60C ",AA
15585821,A,78037,"PM60E ",AA
