_CustomObjectKey,ID_TITULO,ID_SERIE,ID_PLANO,DATA_SORTEIO
414286,8166,AB,"PM60V ",2021-05-15
414287,495542,AA,"PM604 ",2017-07-08
414288,538937,AA,"PM604 ",2017-07-08
414289,627638,AA,"PM604 ",2017-07-08
414290,133099,AA,"PM483 ",2017-10-07
414291,122795,AA,"PM483 ",2017-10-07
414292,2514985,AA,"PU12C ",2017-09-01
414293,2796558,AA,"PU12C ",2018-03-09
414294,2847927,AA,"PU12C ",2018-04-11
414295,486340,AA,"PM601 ",2018-04-28
414296,427476,AA,"PM48O ",2018-04-28
414297,279677,AA,"PM601 ",2017-07-22
414298,306070,AA,"PM604 ",2017-07-22
414299,306969,AA,"PM48O ",2018-10-06
414300,2500317,AA,"PU12C ",2017-08-25
414301,127645,AA,"PU481 ",2017-09-02
414302,169475,AA,"PM604 ",2017-09-02
414303,192042,AA,"PM604 ",2017-09-02
414304,205159,AA,"PM604 ",2017-09-02
414305,780552,AA,"PM604 ",2018-10-20
414306,553013,AA,"PM48D ",2018-11-03
414307,610610,AA,"PM604 ",2018-08-04
414308,135855,AA,"PM365 ",2018-08-04
414309,9197,AA,"PM607 ",2017-08-05
414310,90458,AA,"PM48O ",2017-08-05
414311,116669,AA,"PM48O ",2017-08-05
414312,333814,AA,"PM604 ",2018-04-28
414313,59202,AA,"PM364 ",2017-07-22
414314,16269,AB,"PM604 ",2017-10-07
414315,272239,AA,"PM604 ",2018-08-18
414316,48319,AA,"PM364 ",2017-07-08
414317,53860,AA,"PU368 ",2017-07-08
414318,47052,AB,"PM604 ",2017-12-16
414319,793986,AA,"PM604 ",2018-04-28
414320,50083,AE,"PU368 ",2018-05-19
414321,135351,AA,"PM604 ",2018-09-08
414322,572099,AA,"PM604 ",2018-09-08
414323,3187884,AA,"PU12C ",2018-10-10
414324,390246,AA,"PM604 ",2017-09-02
414325,643776,AA,"PM604 ",2017-09-02
414326,3103549,AA,"PU12C ",2018-08-29
414327,82231,AA,"PM604 ",2018-05-12
414328,33462,AA,"PM484 ",2018-09-08
414329,41996,AB,"PM60V ",2018-09-08
414330,43995,AD,"PU369 ",2018-09-08
414331,896096,AB,"PU369 ",2017-11-04
414332,115900,AA,"PM48D ",2017-08-05
414333,119397,AA,"PM48D ",2017-08-05
414334,686338,AA,"PM604 ",2018-04-28
414335,52759,AB,"PM604 ",2018-04-28
414336,52492,AA,"PM364 ",2018-04-28
414337,48086,AA,"PM607 ",2018-04-28
414338,426485,AA,"PM48H ",2018-04-28
414339,55758,AA,"PM365 ",2017-07-22
414340,68624,AA,"PM604 ",2018-09-01
414341,553120,AB,"PU36H ",2018-09-01
414342,510209,AA,"PM48G ",2018-09-01
414343,114803,AA,"PM489 ",2017-10-07
414344,526290,AA,"PM604 ",2018-08-18
414345,206533,AA,"PM601 ",2018-09-15
414346,205394,AA,"PM48G ",2017-07-08
414347,283408,AB,"PU36C ",2018-10-06
414348,113058,AA,"PM484 ",2018-10-06
414349,302750,AA,"PM48D ",2018-10-06
414350,3080553,AA,"PU12C ",2018-08-22
414351,3207408,AA,"PU12C ",2018-10-23
414352,54455,AB,"PM604 ",2017-09-02
414353,14800,AB,"PM604 ",2021-02-27
414354,220078,AA,"PM604 ",2018-10-27
414355,29368,AA,"36PM2 ",2018-10-27
414356,483923,AA,"PM601 ",2018-10-27
414357,544467,AA,"PM483 ",2018-10-27
414358,546249,AA,"PM488 ",2018-11-03
414359,522247,AA,"PM48O ",2018-11-03
414360,391826,AA,"PM601 ",2018-11-03
414361,636707,AA,"PU36C ",2018-11-03
414362,431809,AA,"PM604 ",2018-11-03
414363,379910,AA,"PM604 ",2018-09-08
414364,613033,AA,"PM604 ",2018-03-10
414365,26048,AA,"PM364 ",2018-03-10
414366,90819,AA,"PM488 ",2017-08-05
414367,103891,AA,"PM488 ",2017-08-05
414368,430749,AA,"PM488 ",2018-04-28
414369,420490,AA,"PM48G ",2018-04-14
414370,536185,AA,"PM604 ",2018-04-14
414371,31450,AA,"PM366 ",2017-10-07
414372,806196,AA,"PM604 ",2017-10-07
414373,468499,AA,"PM601 ",2018-09-15
414374,312189,AA,"PM60V ",2018-09-15
414375,28239,EE,"PM48E ",2017-09-20
414376,594974,AC,"PU368 ",2018-10-06
414377,69032,AA,"PM363 ",2018-10-06
414378,258975,AA,"PM483 ",2018-10-06
414379,273643,AA,"PM483 ",2018-10-06
414380,63617,AA,"PM24R ",2018-10-06
414381,308519,AA,"PM488 ",2018-10-06
414382,413382,AA,"PM604 ",2018-10-13
414383,9911,AB,"PM604 ",2018-10-13
414384,229518,AA,"PM604 ",2018-10-20
414385,609336,AC,"PU368 ",2017-09-02
414386,39736,AA,"PM24R ",2017-09-02
414387,592106,AA,"PU36C ",2017-09-02
414388,728608,AA,"PM604 ",2021-02-27
414389,255481,AA,"PM601 ",2018-10-27
414390,542115,AA,"PM489 ",2018-11-03
414391,172461,AA,"PM60V ",2018-03-10
414392,575677,AA,"PM604 ",2018-03-10
414393,63556,AA,"PM604 ",2018-03-10
414394,515735,AA,"PM604 ",2018-03-10
414395,37771,AB,"PM60V ",2018-03-10
414396,850756,AA,"PU36C ",2017-11-04
414397,494162,AA,"PM488 ",2018-08-04
414398,467589,AA,"PM601 ",2018-08-04
414399,735567,AA,"PM604 ",2018-08-04
414400,226251,AA,"PM488 ",2017-08-05
414401,226879,AA,"PM488 ",2017-08-05
414402,227700,AA,"PM488 ",2017-08-05
414403,224654,AA,"PM486 ",2017-08-05
414404,221829,AA,"PM604 ",2018-05-12
414405,336077,AA,"PM601 ",2018-05-12
414406,2878016,AA,"PU12C ",2018-05-07
414407,3047430,AA,"PU12C ",2018-08-02
414408,611408,AB,"PU36H ",2018-09-01
414409,509562,AA,"PM488 ",2018-09-01
414410,365883,AA,"PM604 ",2018-09-15
414411,372823,AA,"PM604 ",2018-09-15
414412,772958,AA,"PM604 ",2018-09-15
414413,39610,AB,"PM604 ",2018-09-15
414414,2981427,AA,"PU12C ",2018-06-26
414415,624013,AC,"PU367 ",2018-06-23
414416,289645,AA,"PM604 ",2018-10-06
414417,72617,AA,"PM24D ",2018-10-06
414418,15817,AB,"PM604 ",2018-10-06
414419,64466,AA,"PM365 ",2018-10-06
414420,734106,AA,"PU36C ",2017-09-02
414421,402724,AB,"PU36C ",2017-09-02
414422,403814,AA,"PM604 ",2018-10-27
414423,235773,AA,"PM604 ",2018-11-03
414424,527551,AA,"PM488 ",2018-11-03
414425,228286,AD,"PU367 ",2018-11-03
414426,38440,AA,"PM481 ",2017-11-04
414427,126672,AA,"PM601 ",2017-11-04
414428,321219,AA,"PM601 ",2017-11-04
414429,423504,AA,"PM601 ",2017-11-04
414430,9732,AB,"PM604 ",2018-03-10
414431,730063,AB,"PU36C ",2018-03-10
414432,419691,AA,"PM604 ",2018-03-10
414433,57415,AB,"PM604 ",2018-09-22
414434,86557,AA,"PM484 ",2018-09-22
414435,307767,AE,"PU368 ",2018-09-22
414436,30540,AA,"PM365 ",2017-08-05
414437,33762,AA,"PMC60 ",2021-04-07
414438,218357,AA,"PUB36 ",2021-05-05
414439,8714,AA,"PMA36 ",2021-05-05
414440,126466,AA,"A48PM ",2021-09-01
414441,233960,AA,"A60PM ",2021-09-01
414442,87893,AA,"PMG48 ",2021-04-07
414443,70751,AA,"PMA48 ",2021-04-07
414444,84626,AA,"PMA48 ",2021-04-07
414445,70932,AA,"PMN48 ",2021-04-07
414446,199473,AA,"A48PM ",2021-09-01
414447,222445,AA,"D60PM ",2021-09-01
414448,221032,AA,"A60PM ",2021-09-01
414449,202190,AA,"B48PM ",2021-09-01
414450,216022,AA,"A60PM ",2021-09-01
414451,214448,AA,"A48PM ",2021-09-01
414452,180576,AC,"PU36C ",2021-08-07
414453,228725,AA,"A60PM ",2021-09-01
414454,94401,AA,"PM60G ",2021-05-05
414455,258591,AA,"PM48O ",2021-08-07
414456,214140,AA,"A48PM ",2021-09-01
414457,216227,AA,"A60PM ",2021-09-01
414458,234930,AA,"A60PM ",2021-09-01
414459,223688,AA,"A60PM ",2021-09-01
414460,248143,AA,"PM48O ",2021-08-07
414461,371109,AA,"PM483 ",2021-08-07
414462,4281,AB,"A60PM ",2021-09-01
414463,206980,AA,"A48PM ",2021-09-01
414464,234211,AA,"A60PM ",2021-09-01
414465,291786,AA,"F48PM ",2021-05-05
414466,95484,AA,"PM60E ",2021-05-05
414467,48009,AA,"PMA48 ",2021-05-05
414468,360193,AA,"PM48L ",2021-08-07
414469,419292,AA,"PM48I ",2021-08-07
414470,279663,AA,"E48PM ",2021-05-05
414471,60086,AA,"PMC60 ",2021-05-05
414472,45556,AA,"PMA48 ",2021-05-05
414473,394360,AA,"PM488 ",2021-08-07
414474,215976,AA,"B48PM ",2021-09-01
414475,218657,AA,"PUA36 ",2021-05-05
414476,460929,AA,"PM48D ",2021-08-07
