_CustomObjectKey,CODIGO_PEDIDO
501,0000099917 - Venda Ativa
502,0000099924 - Venda Ativa
503,0000099918 - Venda Ativa
504,0000100388 - Venda Ativa
505,0000100389 - Venda Ativa
506,0000100382 - Venda Ativa
507,0000100381 - Venda Ativa
508,0000100408 - Venda Ativa
509,0000100383 - Venda Ativa
510,0000100410 - Venda Ativa
511,0000100385 - Venda Ativa
512,0000100409 - Venda Ativa
513,0000100384 - Venda Ativa
514,0000100387 - Venda Ativa
515,0000100386 - Venda Ativa
516,0000100380 - Venda Ativa
517,0000100379 - Venda Ativa
518,0000100446 - Venda Ativa
519,0000100423 - Venda Ativa
520,0000100448 - Venda Ativa
521,0000100422 - Venda Ativa
522,0000100447 - Venda Ativa
523,0000100441 - Venda Ativa
524,0000100398 - Venda Ativa
525,0000100440 - Venda Ativa
526,0000100397 - Venda Ativa
527,0000100418 - Venda Ativa
528,0000100443 - Venda Ativa
529,0000100400 - Venda Ativa
530,0000100442 - Venda Ativa
531,0000100399 - Venda Ativa
532,0000100419 - Venda Ativa
533,0000100402 - Venda Ativa
534,0000100445 - Venda Ativa
535,0000100444 - Venda Ativa
536,0000100401 - Venda Ativa
537,0000100421 - Venda Ativa
538,0000100420 - Venda Ativa
539,0000100395 - Venda Ativa
540,0000100394 - Venda Ativa
541,0000100413 - Venda Ativa
542,0000100437 - Venda Ativa
543,0000100415 - Venda Ativa
544,0000100436 - Venda Ativa
545,0000100414 - Venda Ativa
546,0000100417 - Venda Ativa
547,0000100439 - Venda Ativa
548,0000100396 - Venda Ativa
549,0000100438 - Venda Ativa
550,0000100416 - Venda Ativa
551,0000100390 - Venda Ativa
552,0000100391 - Venda Ativa
553,0000100412 - Venda Ativa
554,0000100393 - Venda Ativa
555,0000100411 - Venda Ativa
556,0000100392 - Venda Ativa
557,0000100405 - Venda Ativa
558,0000100404 - Venda Ativa
559,0000100407 - Venda Ativa
560,0000100406 - Venda Ativa
561,0000100466 - Venda Ativa
562,0000100429 - Venda Ativa
563,0000100462 - Venda Ativa
564,0000100461 - Venda Ativa
565,0000100431 - Venda Ativa
566,0000100464 - Venda Ativa
567,0000100430 - Venda Ativa
568,0000100463 - Venda Ativa
569,0000100433 - Venda Ativa
570,0000100432 - Venda Ativa
571,0000100435 - Venda Ativa
572,0000100434 - Venda Ativa
573,0000100458 - Venda Ativa
574,0000100457 - Venda Ativa
575,0000100460 - Venda Ativa
576,0000100459 - Venda Ativa
577,0000100425 - Venda Ativa
578,0000100450 - Venda Ativa
579,0000100424 - Venda Ativa
580,0000100449 - Venda Ativa
581,0000100452 - Venda Ativa
