_CustomObjectKey,MCI
13872674,920558447
13872675,100891469
13872676,901687862
13872677,200931532
13872678,65186
13872679,300256004
13872680,202638141
13872681,101033381
13872682,300920454
13872683,204802761
13872684,76139
13872685,600022950
13872686,204192896
13872687,300966998
13872688,932269541
13872689,200194650
13872690,500007630
13872691,400782114
13872692,500944337
13872693,105521443
13872694,904932386
13872695,333305801
13872696,500520320
13872697,500825805
13872698,801971738
13872699,500291426
13872700,410219384
13872701,910103874
13872702,203656221
13872703,911750059
13872704,100602537
13872705,509255959
13872706,600454466
13872707,100233132
13872708,204442044
13872709,908307668
13872710,932665815
13872711,909831146
13872712,101265084
13872713,908029809
13872714,101061871
13872715,905627920
13872716,500286142
13872717,104561582
13872718,400006573
13872719,800685267
13872720,100757933
13872721,106615063
13872722,105084755
13872723,600691793
13872724,103779050
13872725,600002261
13872726,900318491
13872727,500283940
13872728,502465508
13872729,904035813
13872730,100152139
13872731,101346405
13872732,700359599
13872733,800219993
13872734,601060283
13872735,300974836
13872736,101088460
13872737,100103117
13872738,300868777
13872739,928370441
13872740,303548239
13872741,602054108
13872742,903512956
13872743,909817692
13872744,911579290
13872745,912023352
13872746,300177667
13872747,300391289
13872748,907440919
13872749,600525827
13872750,800551762
13872751,500903604
13872752,904364572
13872753,904822815
13872754,103176706
13872755,508826636
13872756,300677676
13872757,100636478
13872758,400553145
13872759,920938324
13872760,500603882
13872761,905773053
13872762,800154384
13872763,900084489
13872764,100591356
13872765,210763238
13872766,100331952
13872767,908989276
13872768,103198870
13872769,824359826
13872770,100054142
13872771,908482262
13872772,205043990
13872773,703028692
13872774,500221124
13872775,102591739
13872776,100385597
13872777,500633028
13872778,828356976
13872779,906271289
13872780,200602432
13872781,419616562
13872782,105101481
13872783,506772282
13872784,500754463
13872785,106333729
13872786,201275283
13872787,104427606
13872788,907783139
13872789,410801159
13872790,600521436
13872791,922269854
13872792,915211324
13872793,300712478
13872794,103577814
13872795,913172517
13872796,423971500
13872797,511159279
13872798,414879778
13872799,106090286
13872800,300233576
13872801,913288702
13872802,100612181
13872803,201274698
13872804,909524824
13872805,922197953
13872806,300856384
13872807,200973857
13872808,909239066
13872809,600107841
13872810,500012956
13872811,410185804
13872812,824815949
13872813,444504712
13872814,100321100
13872815,300153998
13872816,908192231
13872817,915282745
13872818,100223173
13872819,500007284
13872820,100095039
13872821,900171752
13872822,201147450
13872823,204585627
13872824,904103078
13872825,200933180
13872826,926230339
13872827,924275235
13872828,906537633
13872829,930158270
13872830,100194523
13872831,907350291
13872832,417084903
13872833,504234349
13872834,200040540
13872835,104627187
13872836,200543246
13872837,600701393
13872838,800767916
13872839,111372229
13872840,102733926
13872841,100804756
13872842,917451107
13872843,917774655
13872844,501262618
13872845,243787
13872846,100346082
13872847,204431379
13872848,914389825
13872849,700530251
13872850,207000957
13872851,502535171
13872852,509227738
13872853,100450499
13872854,200737555
13872855,909672539
13872856,911106663
13872857,905866893
13872858,912865392
13872859,100919959
13872860,100892468
13872861,420853783
13872862,909279600
13872863,400256228
13872864,106177326
13872865,411967449
13872866,700793657
13872867,803279135
13872868,515213643
13872869,924722965
13872870,208290933
13872871,911849158
13872872,420064899
13872873,900056261
13872874,500790709
13872875,500796110
13872876,204595737
13872877,201351644
13872878,700011642
13872879,904503964
13872880,106243886
13872881,200440697
13872882,200680807
13872883,909781565
13872884,35785247
13872885,100644636
13872886,515586999
13872887,920482180
13872888,934471135
13872889,200773878
13872890,106233797
13872891,100321956
13872892,100885681
13872893,102560513
13872894,200718608
13872895,100139806
13872896,502906559
13872897,300009895
13872898,105565237
13872899,539218
13872900,402383866
13872901,600821091
13872902,300980193
13872903,89294
13872904,205699350
13872905,700128033
13872906,603317630
13872907,600775004
13872908,400724135
13872909,500790169
13872910,101415197
13872911,600682062
13872912,502886784
13872913,101162826
13872914,904336764
13872915,503106938
13872916,416736440
13872917,200464024
13872918,601076642
13872919,500824580
13872920,600301869
13872921,400327749
13872922,300156850
13872923,912260371
13872924,100469927
13872925,600640780
13872926,914235631
13872927,200017658
13872928,205070674
13872929,605658426
13872930,925195628
13872931,700103047
13872932,900303427
13872933,800075076
13872934,900005431
13872935,105718812
13872936,418134278
13872937,500801019
13872938,902013729
13872939,100878441
13872940,101209735
13872941,300971598
13872942,101152397
13872943,905655257
13872944,501482774
13872945,700328512
13872946,700640835
13872947,415847041
13872948,203092870
13872949,106287667
13872950,919995536
13872951,30252782
13872952,500778455
13872953,906241067
13872954,900385730
13872955,500502770
13872956,600289321
13872957,903415970
13872958,200680831
13872959,31902950
13872960,200485437
13872961,600884468
13872962,500674266
13872963,800142099
13872964,602632875
13872965,100607483
13872966,910549129
13872967,500115963
13872968,300781091
13872969,400986272
13872970,30525927
13872971,933827953
13872972,102985494
13872973,908911513
13872974,903923579
13872975,100148021
13872976,423598878
13872977,701214125
13872978,200624529
13872979,424161618
13872980,700255969
13872981,906577387
13872982,300837143
13872983,200859278
13872984,600025376
13872985,420968524
13872986,803014803
13872987,104965800
13872988,904135984
13872989,603208452
13872990,100096742
13872991,906202914
13872992,500694076
13872993,305686611
13872994,201212229
13872995,100040637
13872996,200047446
13872997,500036397
13872998,307224522
13872999,104388385
13873000,105124983
13873001,920164602
13873002,500756079
13873003,509582599
13873004,600990561
13873005,600537139
13873006,33820565
13873007,900472155
13873008,100927013
13873009,400468811
13873010,800195510
13873011,800697264
13873012,400150542
13873013,101318376
13873014,904642565
13873015,302259990
13873016,814330
13873017,903009019
13873018,908773338
13873019,200220722
13873020,916472449
13873021,300789735
13873022,700662578
13873023,34348116
13873024,441802938
13873025,506724161
13873026,910237561
13873027,204632673
13873028,917179300
13873029,203863074
13873030,501295624
13873031,100459118
13873032,502253275
13873033,600517980
13873034,513137301
13873035,415173923
13873036,901530624
13873037,908094202
13873038,100310740
13873039,600159274
13873040,802267814
13873041,200727029
13873042,500217827
13873043,101066932
13873044,101110816
13873045,101590766
13873046,800579408
13873047,205178774
13873048,402605
13873049,303526097
13873050,102945140
13873051,916370371
13873052,417056608
13873053,900535806
13873054,600373714
13873055,300017937
13873056,700733161
13873057,700682597
13873058,700091468
13873059,104587711
13873060,904259153
13873061,700739544
13873062,303836098
13873063,100127069
13873064,901509814
13873065,200493121
13873066,604966372
13873067,500805292
13873068,904114485
13873069,700232307
13873070,202766219
13873071,500790799
13873072,266812
13873073,518690605
13873074,900554923
13873075,908397951
13873076,100150512
13873077,700268104
13873078,200282975
13873079,601024766
13873080,500801185
13873081,801907867
13873082,101448827
13873083,200073327
13873084,600163646
13873085,800014418
13873086,700814635
13873087,105558069
13873088,908987031
13873089,200933136
13873090,420203049
13873091,916793566
13873092,400792833
13873093,101189215
13873094,105160060
13873095,906614516
13873096,300751664
13873097,330227814
13873098,905866573
13873099,100233611
13873100,104806452
13873101,500085954
13873102,200182423
13873103,206066248
13873104,903560219
13873105,300309536
13873106,301104212
13873107,900055974
13873108,76341
13873109,500490950
13873110,700661975
13873111,303526165
13873112,512193364
13873113,800280468
13873114,300314318
13873115,500791444
13873116,100792048
13873117,300186625
13873118,602374017
13873119,905945898
13873120,420801239
13873121,203106312
13873122,401070170
13873123,418247098
13873124,200048995
13873125,600056228
13873126,100564918
13873127,200223923
13873128,916144942
13873129,306096915
13873130,500814592
13873131,414204
13873132,918193383
13873133,443066748
13873134,100012935
13873135,600645613
13873136,911377635
13873137,800149170
13873138,800158605
13873139,100894895
13873140,100083959
13873141,412314098
13873142,402410246
13873143,801006680
13873144,500944150
13873145,400658173
13873146,101422783
13873147,104498834
13873148,801118875
13873149,800119667
13873150,400144640
13873151,931376004
13873152,200974024
13873153,600531308
13873154,101256790
13873155,413413886
13873156,200099272
13873157,600915456
13873158,901689709
13873159,35285191
13873160,200728657
13873161,903805139
13873162,600492317
13873163,906363764
13873164,411069296
13873165,100195128
13873166,105942107
13873167,101468357
13873168,106043103
13873169,600012622
13873170,303733795
13873171,400310526
13873172,400836
13873173,200964999
13873174,400491140
13873175,929435757
13873176,700801268
13873177,931517790
13873178,911112798
13873179,31168558
13873180,207590641
13873181,307220037
13873182,934844918
13873183,500011703
13873184,201316610
13873185,418326627
13873186,49166
13873187,703975797
13873188,802157526
13873189,906537625
13873190,932230910
13873191,601052960
13873192,900376628
13873193,600585457
13873194,100904741
13873195,203678511
13873196,204185369
13873197,517619
13873198,34716068
13873199,300994194
13873200,200725610
13873201,400319855
13873202,100835073
13873203,300911323
13873204,100000295
13873205,915706810
13873206,501006619
13873207,639304
13873208,908614580
13873209,600564714
13873210,700525746
13873211,903891554
13873212,211471899
13873213,907891383
13873214,100080222
13873215,1145323
13873216,100109548
13873217,101271862
13873218,907945967
13873219,100094741
13873220,3145899
13873221,112298478
13873222,412270166
13873223,603383264
13873224,413049769
13873225,100101212
13873226,200821703
13873227,200355717
13873228,200511426
13873229,307185948
13873230,900011059
13873231,444891463
13873232,906523469
13873233,909381668
13873234,900305599
13873235,700709071
13873236,200323112
13873237,800647278
13873238,442194
13873239,929967343
13873240,601190381
