_CustomObjectKey,id_titulo,id_titular,id_subscritor,id_cliente,num_titulo,serie,plano,origem,id_titulo_darwin
3472483,a0o6g00000H9MPHAA3,a0i6g00000AhfFvAAJ,a0i6g00000AhfFvAAJ,0016g00002RJrh0AAD,346065,AB,A60PM,CAP,346065
3472484,a0o6g00000H9MPLAA3,a0i6g00000AhfGGAAZ,a0i6g00000AhfGGAAZ,0016g00002RJrNAAA1,120731,AB,A48PM,CAP,120731
3472485,a0o6g00000H9MPMAA3,a0i6g00000AhfGHAAZ,a0i6g00000AhfGHAAZ,0016g00002RK1dyAAD,350166,AA,A48PU,CAP,350166
3472486,a0o6g00000H9MPRAA3,a0i6g00000AhfGOAAZ,a0i6g00000AhfGOAAZ,0016g00002RJrfSAAT,87784,AC,A60PM,CAP,87784
3472487,a0o6g00000H9MPYAA3,a0i6g00000AhfGeAAJ,a0i6g00000AhfGeAAJ,0016g00002RJvQ2AAL,306023,AA,A36PU,CAP,306023
3472488,a0o6g00000H9MPZAA3,a0i6g00000AhfGeAAJ,a0i6g00000AhfGeAAJ,0016g00002RJvQ2AAL,306024,AA,A36PU,CAP,306024
3472489,a0o6g00000H9MPaAAN,a0i6g00000AhfGeAAJ,a0i6g00000AhfGeAAJ,0016g00002RJvQ2AAL,350174,AA,A48PU,CAP,350174
3472490,a0o6g00000H9MPbAAN,a0i6g00000AhfGfAAJ,a0i6g00000AhfGfAAJ,0016g00002RJvF8AAL,543450,AA,A48PM,CAP,543450
3472491,a0o6g00000H9MPdAAN,a0i6g00000AhZ7rAAF,a0i6g00000AhZ7rAAF,0016g00002RJsaFAAT,88643,AC,A60PM,CAP,88643
3472492,a0o6g00000H9MPfAAN,a0i6g00000AhckpAAB,a0i6g00000AhckpAAB,0016g00002RJvrsAAD,88644,AC,A60PM,CAP,88644
3472493,a0o6g00000H9MPkAAN,a0i6g00000AhcrJAAR,a0i6g00000AhcrJAAR,0016g00002RJpiQAAT,88151,AC,A60PM,CAP,88151
3472494,a0o6g00000H9MPpAAN,a0i6g00000AhZ8vAAF,a0i6g00000AhZ8vAAF,0016g00002RJnSvAAL,88153,AC,A60PM,CAP,88153
3472495,a0o6g00000H9MPqAAN,a0i6g00000AhcrfAAB,a0i6g00000AhcrfAAB,0016g00002RK1KTAA1,87809,AC,A60PM,CAP,87809
3472496,a0o6g00000H9MPsAAN,a0i6g00000AhfdJAAR,a0i6g00000AhfdJAAR,0016g00002RJsCqAAL,88635,AC,A60PM,CAP,88635
3472497,a0o6g00000H9MPwAAN,a0i6g00000AhfdPAAR,a0i6g00000AhfdPAAR,0016g00002RJrxCAAT,346044,AB,A60PM,CAP,346044
3472498,a0o6g00000H9MPxAAN,a0i6g00000AhfdQAAR,a0i6g00000AhfdQAAR,0016g00002RK20jAAD,88636,AC,A60PM,CAP,88636
3472499,a0o6g00000H9MPyAAN,a0i6g00000AhfdRAAR,a0i6g00000AhfdRAAR,0016g00002RJuIrAAL,346045,AB,A60PM,CAP,346045
3472500,a0o6g00000H9MQ3AAN,a0i6g00000AhZ7SAAV,a0i6g00000AhZ7SAAV,0016g00002RK0yZAAT,88637,AC,A60PM,CAP,88637
3472501,a0o6g00000H9MQ8AAN,a0i6g00000AhZ86AAF,a0i6g00000AhZ86AAF,0016g00002RJmQAAA1,143733,AA,PUA48,CAP,143733
3472502,a0o6g00000H9MQIAA3,a0i6g00000Ahcr7AAB,a0i6g00000Ahcr7AAB,0016g00002RJluLAAT,346321,AB,A60PM,CAP,346321
3472503,a0o6g00000H9MQOAA3,a0i6g00000AhfeJAAR,a0i6g00000AhfeJAAR,0016g00002RJyxkAAD,10248,AD,A60PM,CAP,10248
3472504,a0o6g00000H9MQTAA3,a0i6g00000AhZ9WAAV,a0i6g00000AhZ9WAAV,0016g00002RJqxIAAT,543386,AA,A48PM,CAP,543386
3472505,a0o6g00000H9MQVAA3,a0i6g00000AhfeVAAR,a0i6g00000AhfeVAAR,0016g00002RJzzcAAD,346323,AB,A60PM,CAP,346323
